Item,Model,Price,Source
CPU,"Intel Core i5-14400, 10-Core / 16-Thread 65W CPU with iGPU - LGA1700",154.94,eBay
CPU,Intel Xeon E7-8880 v4 SR2S7 2.20GHz 55MB 22-Core LGA2011 CPU Processor,9.99,eBay
CPU,AMD EPYC 9755 QS CPU ZEN5 TURIN SP5 128 Cores 256 Threads 2.7GHz Processors,3357.0,eBay
CPU,Intel Core i7-14700F DESKTOP processor TURBO Boost 5.40Ghz SRN3Z CM8071504820816,259.0,eBay
CPU,NEW LISTINGIntel Core i7-10700T 2.0GHz LGA1200 Comet Lake Processor CPU,130.0,eBay
CPU,Intel Xeon E5-2680 V4 Server CPU Processor 2.40GHz 14 core 28 threads LGA 2011-3,14.9,eBay
CPU,Matched Pair Intel Xeon X5690 SLBVX 3.46GHZ 12MB LGA 1366 6-Core CPU Processors,61.56,eBay
CPU,Intel Core 2 Duo T9900 3.06GHz Dual-Core cpu Processor,23.6,eBay
CPU,Intel Core 14th Gen i5-14500T 1.7 GHz up to 4.8GHz 14-core 24 MB cache,149.0,eBay
CPU,NEW LISTINGIntel Pentium PRO CPU Processor Untested Scrap Gold,95.0,eBay
CPU,Matched Pair (TWO) Intel Xeon Gold 6244 3.6GHz LGA 3647 CPU SRF8Z GRADE A USA!!,259.0,eBay
CPU,Intel Core 2 Extreme QX9300 Mobile SLB5J 2.53GHzProcessor -CPU,38.28,eBay
CPU,AMD Ryzen 7 5700 - Ryzen 7 5000 Series 8-Core 3.7 GHz Socket AM4 65W None Integr,129.49,eBay
CPU,Intel core i7-990X SLBVZ 3.46GHz 6 Core Extreme Edition AT80613005931AA,79.5,eBay
CPU,Intel Core 2 Duo T9500 2.6 GHz Dual-Core 6M 800 Processor Socket P /965 TOP CPU,25.0,eBay
CPU,AMD Ryzen 5 7600 - 6-Core 3.8GHz Socket AM5 65W AMD Radeon CPU Processor,188.99,eBay
CPU,Matched Pair Intel Xeon X5690 3.46GHz 12MB 6.4GT/s 6 Core 1333GHz SLBVX CPU,49.5,eBay
CPU,CPU,0,PCPartPicker
Motherboard,ASRock Z390 PHANTOM GAMING 4S LGA 1151 Intel Z390 ATX Motherboard,95.39,eBay
Motherboard,Dell Inspiron 7706 2in1 Motherboard i7-1165G7 2.8GHz Quad-Core DDR4 P47D9 NH21K,201.58,eBay
Motherboard,NEW LISTING1PCS NEW 1336-GM1 Via DHL/UPS ##,137.0,eBay
Motherboard,NEW GIGABYTE Z390 UD Motherboard LGA 1151 Intel Z390 4×DDR4 ATX HDMI M.2 Core,99.99,eBay
Motherboard,GIGABYTE B460M AORUS ELITE LGA1200 B460 DDR4 HDMI MATX Motherboard Tested,85.99,eBay
Motherboard,(AMD) GryphiX B450M-A AMD AM4 Socket Motherboard AM4+ M-ATX Micro ATX DDR4,75.99,eBay
Motherboard,Gigabyte B460M AORUS ELITE Gaming Motherboard Micro ATX LGA 1200 Intel B460 BOX,142.92,eBay
Motherboard,"Topton N18 N100 Mini-ITX NAS Motherboard (6xSATA3, 2xM.2, 2x2.5Gbps, 1x10Gbps)",229.99,eBay
Motherboard,ASUS Rog Maximus XI Hero (Wi-Fi) LGA 1151 ATX Motherboard Intel chipset Z390,295.9,eBay
Motherboard,Gigabyte MZ33-AR1 DDR5 Server Motherboard SP5 Support AMD EPYC 9005/9004 CPU,1229.0,eBay
Motherboard,GIGABYTE GA-B250M-D3H LGA 1151 Intel B250 HDMI SATA 6Gb/s Micro ATX Motherboard,89.95,eBay
Motherboard,MATX dual socket LGA2011 X79 motherboard Intel chipset C602 Xeon E5 2600 v1 v2,123.76,eBay
Motherboard,NIB GIGABYTE GA-H110TN DDR4 Mini-ITX Embedded Motherboard 1151 - JJ,49.0,eBay
Motherboard,HP 358701-001 XW4200 System Board 347887-002,279.0,eBay
Motherboard,Genuine Dell OptiPlex 3090 7070 Ultra Motherboard i5-1145G7 16GB DDR4 5G6P6,100.0,eBay
Motherboard,X79 Micro-ATX Motherboard SATA 2.0 M.2 NVME LGA2011 Desktops Motherboard,41.97,eBay
Motherboard,Supermicro h11ssl-i Rev 2.0 motherboard ATX sp3 Support 7001/7002 EPYC CPU,355.0,eBay
Motherboard,ASUS AMD B550 AM4 Compatible Motherboard PRIME B550M-A MicroATX PRIME B550M-A,159.28,eBay
Motherboard,ASRock X570 Phantom Gaming 4 Motherboard AMD Ryzen 5 3600 Processor 16GB Ram,139.99,eBay
Motherboard,Dell Inspiron 7706 2in1 Motherboard i7-1165G7 2.8GHz Quad-Core DDR4 P47D9 NH21K,201.58,eBay
Motherboard,GIGABYTE GA-B250M-D3H LGA 1151 Intel B250 HDMI SATA 6Gb/s Micro ATX Motherboard,89.95,eBay
Motherboard,HP 358701-001 XW4200 System Board 347887-002,279.0,eBay
Motherboard,Genuine Dell OptiPlex 3090 7070 Ultra Motherboard i5-1145G7 16GB DDR4 5G6P6,100.0,eBay
Motherboard,NEW GIGABYTE Z390 UD Motherboard LGA 1151 Intel Z390 4×DDR4 ATX HDMI M.2 Core,99.99,eBay
Motherboard,MSI PRO B650-P WiFi AM5 ATX AMD Motherboard,157.0,eBay
Motherboard,Msi Mpg B650i Edge Wifi Gaming Motherboard (amd Ryzen 9000/8000/7000 Series,201.99,eBay
Motherboard,Intel D850MD Motherboard 850 Chip Support Rambus Memory RDRAM ONLLY (BRAND NEW),125.0,eBay
Motherboard,5B21B85187 LENOVO MOTHERBOARD INTEL I5 1135G7 4GB IDEAPAD 3 15ITL6 82H8 (AE59) *,174.21,eBay
Motherboard,ASUS PRIME B365-PLUS Motherboard Intel B365 LGA 1151 DDR4 M.2 ATX Core DVI-D,139.89,eBay
Motherboard,ASRock B560M PRO4 LGA 1200 Intel B560 SATA 6Gb/s Micro ATX Intel Motherboard,98.99,eBay
Motherboard,HP System Motherboard For HP Compaq 8200 Elite Microtower PC - 611835-001,28.0,eBay
Motherboard,MSI Motherboard A520M-A PRO AM4 Compatible Micro ATX AMD A520 MB5136 New From JP,64.0,eBay
Motherboard,New For HP OMEN 25L LGA 1200 Dorado H470 Micro-ATX DDR4 Motherboard L96319-001,109.88,eBay
Motherboard,ASUS TUF B365M-PLUS GAMING Motherboard LGA 1151 Intel B365 DDR4 M.2 Micro ATX,129.88,eBay
Motherboard,ASUS Rog Maximus XI Hero Wi-Fi LGA1151 ATX Motherboard Intel Z390 Chipset DDR4,227.93,eBay
Motherboard,HDMI-compatible/VGA/NVME M.2 B75A Motherboard Max Capacity 16GB for PC Gaming,28.86,eBay
Motherboard,ASUS Prime Z390-P LGA 1151 Intel Motherboard,89.99,eBay
Motherboard,ASRock X870E NOVA WIFI AM5 AMD X870E SATA 6Gb/s ATX Motherboard,412.99,eBay
Motherboard,Asus Z170I Pro Gaming Mini-ITX Motherboard w/ Intel i5-6600K @3.50GHz/2x 4GB Ram,89.99,eBay
Motherboard,DELL ALIENWARE M15 R3 CORE I7-10750H 16GB RAM RADEON RX5500M MOTHERBOARD WGTNJ,169.15,eBay
Motherboard,NB.Q3M11.004 Acer Intel I5-8300HQ NVIDIA GTX 1050 4GB Motherboard AN515-53-52FA,139.45,eBay
Motherboard,HP ProDesk 600 G4 DM Motherboard L17653-001 L04546-002 L28951-001 L31628-601,59.99,eBay
Motherboard,NEW Dell Inspiron 13 5378 15 5578 2-in-1 Motherboard W/ I5-7200U - PG0MH 0PG0MH,84.15,eBay
Motherboard,NEW LISTING5B21J15998 For ThinkPad T14 Gen 3 P14s Gen 3 Motherboard Ryzen 7 PRO 6850U,423.0,eBay
Motherboard,ASRock B560M PRO4 LGA 1200 Intel B560 SATA 6Gb/s Micro ATX Intel Motherboard,98.99,eBay
Motherboard,MAXSUN MS-iCraft B760M CROSS DDR5 WIFI Motherboard,289.0,eBay
Motherboard,ASRock Thunderbolt 4 AIC R2.0 Thunderbolt 4 PCI Express Expansion,139.42,eBay
Motherboard,ASRock Z390 PHANTOM GAMING SLI/ac LGA 1151 Intel ATX Intel Motherboard-With Wifi,139.99,eBay
Motherboard,Minisforum BD-795i SE MoDT Mini-ITX w/ Ryzen 9 7945HX CPU,369.99,eBay
Motherboard,MSI PRO B650-P WiFi AM5 ATX AMD Motherboard,157.0,eBay
Motherboard,Dell Precision 5520 Motherboard i7-7820HQ 2.9GHz Quad Core NVIDIA Graphics X41RR,127.68,eBay
Motherboard,Supermicro X11SCA-F LGA1151 Single Channel Workstation DDR4 Motherboard,139.0,eBay
Motherboard,Gigabyte MZ73-LM0 (rev. 3.0/2.0) DDR5 Server Motherboard Support 9004/9005,1575.0,eBay
Motherboard,Gigabyte MZ73-LM0 (rev. 3.0/2.0) Server MotherBoard Support AMD EPYC 9004 /9005,1575.0,eBay
Motherboard,ASUS TUF X299 MARK 2 LGA2066 DDR4 M2 USB3.1 Motherboard Support Core I9 10940X,172.9,eBay
Motherboard,Intel BLKDK132EPJ DK132EPJ Compute Card Dock NEW BROWN BOX,86.88,eBay
Motherboard,ASUS ROG STRIX X870E-E GAMING WIFI 7 AMD AM5 X870 ATX motherboard DDR5,509.99,eBay
Motherboard,ASRock B650M PRO RS WiFi AM5 AMD B650 DDR5 MicroATX Motherboard New,174.89,eBay
Motherboard,NEW LISTING5B20W77569 Motherboard For Lenovo ThinkPad E14 Gen 2 R5 4500U 5B21B63290,139.88,eBay
